,DEMREL02,DEMID01,DEMSN01,RELPCG02,RELOCG02,SIBIND02,CH02PRWT,PCGRES02,OCGRES02,ASMRES02,CHRES02,TDRES02,CCDRES02,EMSRES02,IWER02,SBLNUM03,SBLNUM01,BIOPR03,BIOPR01,BIOGPR03,BIOGPR01,PCGEMS02
0,6,3,2,4,0,1,4.168,1,0,1,1,5,1,1,2003,2,3,3,2,2,2,1
1,6,3,3,1,0,1,4.103,1,0,1,1,1,1,1,2003,3,3,2,2,2,2,1
2,6,24,2,1,0,1,3.798,1,0,1,1,1,1,5,2082,1,1,2,2,2,2,1
3,6,24,3,1,0,1,3.87,1,0,1,1,1,1,0,2082,1,1,2,2,2,2,0
4,6,29,3,1,4,5,52.725,1,1,1,1,1,0,0,2060,96,96,1,1,0,0,0
5,6,32,3,1,5,1,10.95,1,1,1,1,1,0,0,2043,3,3,2,2,2,2,0
6,6,32,4,1,5,1,11.03,1,1,1,1,1,0,5,2043,3,3,2,2,2,2,1
7,6,59,3,1,0,5,23.089,1,0,1,0,1,1,1,2092,2,1,2,2,2,2,1
8,6,60,4,1,0,1,26.094,1,0,5,5,1,5,5,2014,2,2,2,1,2,2,1
9,6,60,5,1,0,1,25.932,1,0,5,5,1,1,1,2014,2,2,2,1,2,2,1
10,6,61,2,1,8,5,26.515,1,1,1,5,1,1,1,2007,2,2,2,2,2,2,1
11,6,65,5,1,4,5,2.277,1,1,1,1,1,1,0,2105,1,2,1,1,2,2,0
12,6,76,3,1,7,5,41.138,1,5,1,0,1,1,1,2091,1,0,2,2,2,2,1
13,6,79,2,1,0,5,43.297,1,0,1,1,1,1,0,2091,96,96,2,2,2,2,0
14,6,88,3,1,5,1,24.429,1,5,5,5,5,5,0,2028,1,1,2,2,0,0,0
15,6,88,4,1,5,1,23.691,1,5,5,5,5,5,0,2028,1,1,2,2,0,0,0
16,6,91,3,1,4,1,13.453,1,1,1,1,1,1,0,2070,1,1,1,1,0,0,0
17,6,91,4,1,4,1,13.423,1,1,1,1,1,1,5,2070,1,1,1,1,0,0,1
18,6,96,3,7,8,5,23.68,1,1,1,1,1,0,0,2058,96,96,4,4,1,1,0
19,6,105,4,1,4,1,13.058,1,1,1,1,1,1,0,2094,2,2,1,1,0,0,0
20,6,105,5,1,4,1,12.631,1,1,1,1,1,1,5,2094,2,2,1,1,0,0,1
21,6,114,3,1,5,5,3.5,1,1,1,1,1,1,1,2091,2,0,2,2,2,2,1
22,6,115,3,1,4,5,22.44,1,1,1,1,1,0,0,2088,0,0,1,1,2,2,0
23,6,125,4,1,4,1,22.257,1,1,1,1,1,1,0,2044,9,1,1,1,2,2,0
24,6,126,5,1,4,5,9.671,1,1,1,5,1,1,1,2013,2,2,1,1,2,2,1
25,6,134,3,1,4,5,13.728,1,1,1,5,1,1,1,2018,0,0,1,1,2,2,1
26,6,136,3,1,4,1,20.148,1,5,1,1,1,1,0,2088,1,1,2,1,2,2,0
27,6,136,4,1,4,1,19.866,1,5,1,1,1,1,0,2088,1,1,2,1,2,2,0
28,6,138,4,1,0,5,44.668,1,0,1,1,1,1,0,2001,96,1,2,2,2,2,0
29,6,139,5,1,4,5,22.452,1,1,1,1,1,1,0,2067,2,2,1,1,2,2,0
30,6,152,2,15,2,1,2.616,1,1,1,1,1,1,0,2063,96,96,0,0,0,0,0
31,6,152,3,15,2,1,3.761,1,1,1,1,1,1,0,2063,1,1,3,3,0,0,0
32,6,154,4,1,4,5,3.934,1,1,1,1,1,1,0,2063,9,1,1,1,2,2,0
33,6,163,2,1,5,5,55.778,1,1,1,1,1,0,0,2034,10,0,6,4,4,1,0
34,6,171,3,1,4,5,7.181,1,1,1,0,1,1,5,2112,1,1,1,1,2,2,1
35,6,178,3,1,0,5,13.228,1,0,1,0,1,1,5,2091,0,0,2,1,2,2,1
36,6,188,4,1,4,5,12.103,1,1,1,1,1,1,0,2016,1,1,1,1,0,0,0
37,6,190,3,1,4,1,41.56,1,1,1,1,1,5,0,2080,1,1,1,1,2,2,9
38,6,190,4,1,4,1,41.083,1,1,1,1,1,5,0,2080,1,1,1,1,2,2,9
39,6,216,3,3,4,5,17.629,1,1,1,1,1,1,0,2093,0,0,3,3,2,2,0
40,6,218,3,1,4,1,34.655,1,1,1,1,1,1,1,2107,2,2,1,1,2,2,1
41,6,218,5,1,4,1,34.384,1,1,1,0,1,1,1,2107,2,2,1,1,2,2,1
42,6,226,3,1,4,5,19.141,1,1,1,1,1,1,1,2006,0,0,1,1,2,2,1
43,6,235,3,1,5,1,34.928,1,1,1,1,1,1,1,2055,2,2,2,2,2,2,1
44,6,235,4,1,5,1,10.74,1,1,1,1,1,1,0,2055,2,2,2,2,2,2,0
45,6,243,3,1,4,5,36.143,1,1,1,1,1,1,0,2095,96,96,1,1,0,0,0
46,6,257,3,1,0,1,8.046,1,0,1,1,5,1,0,2026,2,2,2,2,2,2,0
